,algo,step,millisFromStart,qcEvals,modelEvals,qc
1,TABU_50,97,1125,836,9675,1.1466907509855535
2,METRO_50,33128,3880,23361,33129,1.1466907509855535
3,METRO_20,42043,6115,29010,42044,1.214458306416974
4,PARALLEL_5_1.0_200.0,3,5439,3723,5103,1.6472728858709034
5,TABU_5,42,1102,357,4202,28.943366538084003
6,TABU_10,42,1140,357,4202,28.943366538084003
7,RANDOM_DESCENT,365,97,266,366,28.943366538084003
8,STEEPEST_DESCENT,42,395,357,4243,28.943366538084003
9,PARALLEL_10_10_100.0,2,9569,5764,7654,43.72972584432724
