,algo,step,millisFromStart,qcEvals,modelEvals,qc
1,METRO_50,9352,1007,6725,9353,0.7591495322387924
2,METRO_20,71515,8529,49128,71516,0.9676650874123277
3,PARALLEL_5_1.0_200.0,5,7108,8505,11623,28.27184540057925
4,TABU_5,37,921,326,3702,29.26039643966461
5,TABU_10,37,615,326,3702,29.26039643966461
6,TABU_50,37,336,326,3702,29.26039643966461
7,STEEPEST_DESCENT,37,382,326,3738,29.26039643966461
8,RANDOM_DESCENT,1066,89,598,1067,35.31916168352731
9,PARALLEL_10_10_100.0,2,8904,5960,7892,40.18981260096657
