,algo,step,millisFromStart,qcEvals,modelEvals,qc
1,TABU_10,72,1223,785,7240,1.1466907509855535
2,TABU_50,72,1376,785,7240,1.1466907509855535
3,METRO_50,33130,3808,23349,33131,1.1466907509855535
4,METRO_20,4625,2441,3406,4626,1.3150554775906773
5,TABU_5,57,1766,697,5759,1.337105997550281
6,PARALLEL_5_1.0_200.0,2,2390,3016,4068,1.3827639536147656
7,STEEPEST_DESCENT,54,2006,661,5509,1.4778539972924503
8,PARALLEL_10_10_100.0,3,10532,9788,13141,13.102555653525688
9,RANDOM_DESCENT,270,65,204,271,28.943366538084003
