,algo,step,millisFromStart,qcEvals,modelEvals,qc
1,METRO_20,26784,3438,18679,26785,1.1950864004475168
2,METRO_50,27465,3775,19440,27466,1.3273634557607241
3,PARALLEL_5_1.0_200.0,4,8204,6976,9544,7.329439361776295
4,PARALLEL_10_10_100.0,4,12905,14234,19254,22.992616575577813
5,TABU_5,37,251,326,3702,29.272247323222764
6,TABU_10,37,401,326,3702,29.272247323222764
7,TABU_50,37,287,326,3702,29.272247323222764
8,RANDOM_DESCENT,327,25,241,328,29.272247323222764
9,STEEPEST_DESCENT,37,335,326,3738,29.272247323222764
