,algo,step,millisFromStart,qcEvals,modelEvals,qc
1,METRO_50,9352,731,6725,9353,0.7591495322387924
2,METRO_20,71515,6400,49128,71516,0.9676650874123277
3,TABU_5,37,365,326,3702,29.26039643966461
4,TABU_10,37,291,326,3702,29.26039643966461
5,TABU_50,37,453,326,3702,29.26039643966461
6,STEEPEST_DESCENT,37,372,326,3738,29.26039643966461
7,PARALLEL_5_1.0_200.0,3,8451,5368,7343,29.26039643966461
8,PARALLEL_10_10_100.0,3,6515,8573,11319,32.44210437516114
9,RANDOM_DESCENT,1066,86,598,1067,35.31916168352731
